,企業名,初任給
0,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,300万円～500万円
1,ジブラルタ生命保険株式会社 | 会社セミナー開催,600万円～1500万円
2,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,300万円～500万円
3,株式会社TCG | 【働く時間は12～18時の6時間】名古屋グランパス公式スポンサー,400万円～1500万円
4,ケイアイスター不動産株式会社 | 東証一部上場企業：完全週休2日制＆福利厚生も充実！,400万円～700万円
5,ニッカホーム株式会社 | リフォーム業界においてトップクラスのシェア率を実現！,300万円～1000万円
6,株式会社ビッグモーター | 全国募集／転勤なし／面接1回／月8~10日休み／業界No.1企業,300万円～500万円
7,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤,300万円～500万円
8,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,480万円～1000万円
9,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,330万円～1500万円
10,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,300万円～550万円
11,ロイヤルハウジング株式会社 | 【創業47年／ロイヤルグループ】昨対比売上150％以上！,500万円～1000万円
12,株式会社ビッグモーター | ★＼平均年収861万円◆業界No.1企業の大手安定性／★,330万円～1500万円
13,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,300万円～550万円
14,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,300万円～500万円
15,株式会社ビッグモーター | ◆最高年収2282万円◆平均月収67万円◆業界No.1企業の安定性◆,300万円～700万円
16,株式会社ビッグモーター | 業界No.1の実績＆安定性/面接1回/月8～10日休み/転勤なし,300万円～500万円
17,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／年内入社も可能,330万円～1500万円
18,三州ペイント株式会社 | メディアでも注目の塗料メーカー ★転勤なし！未経験歓迎,330万円～1500万円
19,株式会社ビッグモーター | 全国募集／転勤なし／面接1回／基本土日休み／業界No.1の安定性,300万円～650万円
20,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,350万円～400万円
21,株式会社ビッグモーター | 業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,300万円～720万円
22,株式会社ビッグモーター | 平均年収861万円 ◆ 最高月収278万円 ◆ 年収2000万円以上の実績,300万円～500万円
23,UTコンストラクション株式会社 | 大阪府緊急雇用対策に賛同・東証一部上場グループ,300万円～1000万円
24,UTコンストラクション株式会社 | ★大手グループの安定基盤★土日祝休み,350万円～750万円
25,株式会社クリア | メンズ美容のリーディングカンパニーへ　脱毛サロンを全国70店舗,450万円～550万円
26,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,300万円～500万円
27,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,300万円～500万円
28,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／日払い可！◆,350万円～450万円
29,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,350万円～550万円
30,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,400万円～1000万円
31,株式会社アサンテ | ＜東証一部上場＞創業50年・国内売上NO.1の安定基盤で将来性抜群,400万円～800万円
32,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,450万円～800万円
33,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,300万円～1000万円
34,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,300万円～550万円
35,メットライフ生命保険株式会社 | ★完全週休2日制★賞与年4回(個人業績による),300万円～550万円
36,HITOWAライフパートナー株式会社 | 全国募集★不況でも売上昨対超え！自宅開業OK★転勤なし！,100万円～1000万円
37,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,300万円～350万円
38,株式会社エフティグループ | 東証JASDAQ上場総合商社★20代多数活躍中★年休120日★転勤なし,280万円～350万円
39,株式会社ドミノ・ピザジャパン | 国内700店舗展開！”宅配ピザ”の枠を越えるグローバルブランド,
40,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,
41,株式会社一条工務店 | ★2020年卒マイナビ大学生就職企業人気ランキング建築住宅系1位,
42,株式会社ビッグモーター | 業界No.1安定企業/月8～10日休み/賞与年2回/年収800万円以上可能,
43,"株式会社ビッグモーター | No.1企業の安定性◆月給23万9,800円~☆残業ほぼなし☆土日休み可",
44,ダイセーエブリー二十四株式会社 | 25通りの選択肢から選べる！？自分らしい働き方を実現しよう！,
45,株式会社ビッグモーター | 月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,
46,株式会社貴順 | ★未経験歓迎★初期費用0円★週払い・日払い制度有★男女活躍中,
47,SOMPOケア株式会社 | 【SOMPOホールディングスグループ】週休2日制★残業月平均7.4h,
48,株式会社インターレイズ | 脱毛サロン「STLASSH(ストラッシュ)」就職したい脱毛サロンNo.1*,
49,株式会社サンテック | 業界トップクラスの修理実績！営業活動”ゼロ”でしっかり稼げる,
,企業名,初任給
0,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,300万円～500万円
1,ジブラルタ生命保険株式会社 | 会社セミナー開催,600万円～1500万円
2,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,300万円～500万円
3,株式会社TCG | 【働く時間は12～18時の6時間】名古屋グランパス公式スポンサー,400万円～1500万円
4,ケイアイスター不動産株式会社 | 東証一部上場企業：完全週休2日制＆福利厚生も充実！,400万円～700万円
5,ニッカホーム株式会社 | リフォーム業界においてトップクラスのシェア率を実現！,300万円～1000万円
6,株式会社ビッグモーター | 全国募集／転勤なし／面接1回／月8~10日休み／業界No.1企業,300万円～500万円
7,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤,300万円～500万円
8,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,480万円～1000万円
9,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,330万円～1500万円
10,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,300万円～550万円
11,ロイヤルハウジング株式会社 | 【創業47年／ロイヤルグループ】昨対比売上150％以上！,500万円～1000万円
12,株式会社ビッグモーター | ★＼平均年収861万円◆業界No.1企業の大手安定性／★,330万円～1500万円
13,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,300万円～550万円
14,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,300万円～500万円
15,株式会社ビッグモーター | ◆最高年収2282万円◆平均月収67万円◆業界No.1企業の安定性◆,300万円～700万円
16,株式会社ビッグモーター | 業界No.1の実績＆安定性/面接1回/月8～10日休み/転勤なし,300万円～500万円
17,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／年内入社も可能,330万円～1500万円
18,三州ペイント株式会社 | メディアでも注目の塗料メーカー ★転勤なし！未経験歓迎,330万円～1500万円
19,株式会社ビッグモーター | 全国募集／転勤なし／面接1回／基本土日休み／業界No.1の安定性,300万円～650万円
20,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,350万円～400万円
21,株式会社ビッグモーター | 業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,300万円～720万円
22,株式会社ビッグモーター | 平均年収861万円 ◆ 最高月収278万円 ◆ 年収2000万円以上の実績,300万円～500万円
23,UTコンストラクション株式会社 | 大阪府緊急雇用対策に賛同・東証一部上場グループ,300万円～1000万円
24,UTコンストラクション株式会社 | ★大手グループの安定基盤★土日祝休み,350万円～750万円
25,株式会社クリア | メンズ美容のリーディングカンパニーへ　脱毛サロンを全国70店舗,450万円～550万円
26,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,300万円～500万円
27,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,300万円～500万円
28,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／日払い可！◆,350万円～450万円
29,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,350万円～550万円
30,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,400万円～1000万円
31,株式会社アサンテ | ＜東証一部上場＞創業50年・国内売上NO.1の安定基盤で将来性抜群,400万円～800万円
32,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,450万円～800万円
33,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,300万円～1000万円
34,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,300万円～550万円
35,メットライフ生命保険株式会社 | ★完全週休2日制★賞与年4回(個人業績による),300万円～550万円
36,HITOWAライフパートナー株式会社 | 全国募集★不況でも売上昨対超え！自宅開業OK★転勤なし！,100万円～1000万円
37,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,300万円～350万円
38,株式会社エフティグループ | 東証JASDAQ上場総合商社★20代多数活躍中★年休120日★転勤なし,280万円～350万円
39,株式会社ドミノ・ピザジャパン | 国内700店舗展開！”宅配ピザ”の枠を越えるグローバルブランド,
40,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,
41,株式会社一条工務店 | ★2020年卒マイナビ大学生就職企業人気ランキング建築住宅系1位,
42,株式会社ビッグモーター | 業界No.1安定企業/月8～10日休み/賞与年2回/年収800万円以上可能,
43,"株式会社ビッグモーター | No.1企業の安定性◆月給23万9,800円~☆残業ほぼなし☆土日休み可",
44,ダイセーエブリー二十四株式会社 | 25通りの選択肢から選べる！？自分らしい働き方を実現しよう！,
45,株式会社ビッグモーター | 月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,
46,株式会社貴順 | ★未経験歓迎★初期費用0円★週払い・日払い制度有★男女活躍中,
47,SOMPOケア株式会社 | 【SOMPOホールディングスグループ】週休2日制★残業月平均7.4h,
48,株式会社インターレイズ | 脱毛サロン「STLASSH(ストラッシュ)」就職したい脱毛サロンNo.1*,
49,株式会社サンテック | 業界トップクラスの修理実績！営業活動”ゼロ”でしっかり稼げる,
